id,system,locus,goal,budget,arm,world,conforming,nominal,reference_target,retest,recovered,metric,mae,coverage,width,quality_pass,retest_purity
C-W05-B24-E-Aligned,C,E,delivery,24,Aligned,C-W05,True,0.8,noiseless_pre_sampling,0.5808473229408264,,crystal_purity,0.06483044883320131,0.25,0.1770833333333333,1,
C-W05-B24-E-Aligned,C,E,delivery,24,Aligned,C-W05,True,0.8,noiseless_pre_sampling,0.5808473229408264,,crystal_size,0.027135552619970357,0.8333333333333334,0.11166666666666668,1,
C-W05-B24-E-Aligned,C,E,delivery,24,Aligned,C-W05,True,0.8,noiseless_pre_sampling,0.5808473229408264,,crystal_yield,0.05933212096072755,0.9166666666666666,0.24033333333333337,1,
C-W05-B24-E-MisIndexed,C,E,delivery,24,MisIndexed,C-W05,True,0.8,noiseless_pre_sampling,0.43060705065727234,,crystal_fines_fraction,0.262935839495325,0.3333333333333333,0.28250000000000003,1,
C-W05-B24-E-MisIndexed,C,E,delivery,24,MisIndexed,C-W05,True,0.8,noiseless_pre_sampling,0.43060705065727234,,crystal_purity,0.03133044883320133,0.5833333333333334,0.08799999999999997,1,
C-W05-B24-E-MisIndexed,C,E,delivery,24,MisIndexed,C-W05,True,0.8,noiseless_pre_sampling,0.43060705065727234,,crystal_size,0.043707877671654356,0.6666666666666666,0.09100000000000001,1,
C-W05-B24-E-MisIndexed,C,E,delivery,24,MisIndexed,C-W05,True,0.8,noiseless_pre_sampling,0.43060705065727234,,crystal_yield,0.0815442139550638,0.4166666666666667,0.16158333333333333,1,
C-W05-B24-E-Opaque,C,E,delivery,24,Opaque,C-W05,True,0.8,noiseless_pre_sampling,0.24050486087799072,,crystal_fines_fraction,0.20970683453424532,0.4166666666666667,0.3225,1,
C-W05-B24-E-Opaque,C,E,delivery,24,Opaque,C-W05,True,0.8,noiseless_pre_sampling,0.24050486087799072,,crystal_purity,0.011040099927469469,1.0,0.06916666666666668,1,
C-W05-B24-E-Opaque,C,E,delivery,24,Opaque,C-W05,True,0.8,noiseless_pre_sampling,0.24050486087799072,,crystal_size,0.009357785239309508,1.0,0.07458333333333333,1,
C-W05-B24-E-Opaque,C,E,delivery,24,Opaque,C-W05,True,0.8,noiseless_pre_sampling,0.24050486087799072,,crystal_yield,0.0383891991177219,0.8333333333333334,0.16,1,
